region,food_name,category,vegetarian_status,serving_size_g,estimated_calories_kcal,estimated_protein_g,estimated_carbs_g,estimated_fat_g,estimated_fiber_g,estimated_calories_per_100g,nutrition_source
North India,Achari baingan,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
West India,Sukhdi,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
West India,Surnoli,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
West India,Sutarfeni,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
West India,Thalipeeth,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
West India,Thepla,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
West India,Undhiyu,Main Dish,Veg,250,300,10,40,10,6,120,Estimate for fitness-app use; not provided by Wikipedia
West India,Upmaa,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
West India,Vada pav,Street Food,Veg,180,350,8,45,15,5,194.4,Estimate for fitness-app use; not provided by Wikipedia
West India,Veg Kolhapuri,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
West India,Vindaloo,Curry,Non-Veg,200,230,16,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
West India,Ghevar,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
West India,Lilva Kachori,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
West India,Maghaz,Meat,Non-Veg,180,350,32,8,25,2,194.4,Estimate for fitness-app use; not provided by Wikipedia
West India,Mag Dhokli,Main Dish,Veg,250,300,10,40,10,6,120,Estimate for fitness-app use; not provided by Wikipedia
West India,Khichu,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
West India,Farsi Puri,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
West India,Khaman,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
West India,Turiya Patra Vatana sabji,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
West India,Mohan thaal,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
West India,Churma Ladoo,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
West India,Zunka,Main Dish,Veg,250,300,10,40,10,6,120,Estimate for fitness-app use; not provided by Wikipedia
East India,Cheera Doi,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Daab chingri,Seafood,Non-Veg,180,220,30,6,11,1,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Dhup Pitha,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Gheela Pitha,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Hurum,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Khar,Side Dish,Veg,100,140,4,16,6,4,140,Estimate for fitness-app use; not provided by Wikipedia
East India,Kumol Sawul,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Loskora,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Luchi,Bread,Veg,80,250,7,42,7,3,312.5,Estimate for fitness-app use; not provided by Wikipedia
East India,Malpua,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Momo,Snack,Veg/Non-Veg,100,280,17,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
East India,Muri Naaru,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Pani Tenga,Pickle,Veg,30,100,2,7,7,2,333.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Sunga Pitha,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Alu Pitika,Side Dish,Veg,100,140,4,16,6,4,140,Estimate for fitness-app use; not provided by Wikipedia
East India,Masor tenga,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Bengena Pitika,Side Dish,Veg,100,140,4,16,6,4,140,Estimate for fitness-app use; not provided by Wikipedia
East India,Bilahi Maas,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Black rice,Rice,Veg,150,130,3,28,1,2,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Bora Sawul,Rice,Veg,150,130,3,28,1,2,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Brown Rice,Rice,Veg,150,130,3,28,1,2,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Chhenagaja,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Chhenapoda,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Chingri malai curry,Seafood,Non-Veg,180,220,30,6,11,1,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Dal,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
East India,Goja,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Hando Guri,Breakfast,Veg,180,220,7,32,7,3,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Haq Maas,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Horioh Maas,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Ilish Bhape,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Kabiraji,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Kharoli,Pickle,Veg,30,100,2,7,7,2,333.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Khorisa,Pickle,Veg,30,100,2,7,7,2,333.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Koldil Chicken,Chicken,Non-Veg,180,300,33,10,18,2,166.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Koldil Duck,Meat,Non-Veg,180,350,32,8,25,2,194.4,Estimate for fitness-app use; not provided by Wikipedia
East India,Konir Dom,Egg,Non-Veg,100,160,20,3,10,1,160,Estimate for fitness-app use; not provided by Wikipedia
East India,Lai Haq Maas,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Litti,Main Dish,Veg,250,300,10,40,10,6,120,Estimate for fitness-app use; not provided by Wikipedia
East India,Maasor Tenga,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Masor Koni,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Masor Petu,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Mishti Chholar Dal,Curry,Veg,200,230,8,18,12,5,115,Estimate for fitness-app use; not provided by Wikipedia
East India,Mishti Doi,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Ou tenga Maas,Fish,Non-Veg,180,240,33,5,13,1,133.3,Estimate for fitness-app use; not provided by Wikipedia
East India,Pakhala,Rice Dish,Veg,250,300,8,48,8,3,120,Estimate for fitness-app use; not provided by Wikipedia
East India,Bhaji,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Pani Pitha,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Pantua,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Payokh,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Peda,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Prawn malai curry,Seafood,Non-Veg,180,220,30,6,11,1,122.2,Estimate for fitness-app use; not provided by Wikipedia
East India,Red Rice,Rice,Veg,150,130,3,28,1,2,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Rice,Staple,Veg,150,130,3,28,1,2,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Rasagola,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Shondesh,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
East India,Shukto,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
East India,Sunga Pork,Meat,Non-Veg,180,350,32,8,25,2,194.4,Estimate for fitness-app use; not provided by Wikipedia
East India,Tenga Doi,Dairy,Veg,100,150,6,15,6,1,150,Estimate for fitness-app use; not provided by Wikipedia
East India,Til Pitha,Sweet,Veg,75,300,5,42,12,2,400,Estimate for fitness-app use; not provided by Wikipedia
Unsorted,Bread pakora,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
Unsorted,Dhoper chop,Snack,Veg,100,280,6,32,14,3,280,Estimate for fitness-app use; not provided by Wikipedia
Unsorted,Karela nu shak,Vegetable,Veg,150,130,4,15,5,5,86.7,Estimate for fitness-app use; not provided by Wikipedia
